	X	Y
    0.7822    1.2839
    1.0065    1.0583
    1.1105    1.0396
    1.2201    1.3175
    1.3088    0.8391
    1.0172    1.1393
    0.7017    1.1670
    0.8515    0.9513
    0.7877    1.0431
    1.4701    0.7668
    0.8769    0.7704
    1.1496    1.0210
    0.9615    1.1445
    1.1777    1.5171
    0.8470    0.8666
    0.7195    1.0375
    0.7155    0.9835
    1.0976    0.6134
    0.9645    0.9122
    0.9608    0.6411
   -0.7899    1.7270
   -1.2220    1.2063
   -0.9750    1.3447
   -1.1361    0.7355
   -0.9241    0.8828
   -1.1501    0.9319
   -0.8775    1.2746
   -0.8152    0.9305
   -0.5720    1.1754
   -1.0485    0.4870
   -1.5346    0.9115
   -1.2099    0.7941
   -0.6614    0.6057
   -1.2680    1.1270
   -0.7598    1.0705
   -0.9690    1.0084
   -0.6408    0.6666
   -1.4902    1.2819
   -1.0494    1.0875
   -1.3020    0.9252
    0.0076   -1.0979
   -0.0873   -1.2826
   -0.5834   -1.3734
   -0.0952   -0.1580
   -0.2771   -0.4482
   -0.3264   -0.8975
   -0.3855   -1.4190
   -0.1779   -1.2885
   -0.6675   -1.0588
    0.3214   -0.7362
    0.1734   -1.4440
   -0.0067   -1.7766
   -0.0116   -1.4830
   -0.2661   -0.8888
    0.3396   -0.8695
   -0.0444   -0.8494
   -0.2382   -1.0434
    0.4505   -0.9388
   -0.0749   -1.1587
   -0.1963   -0.7127
