      X		Y
         0    0.0601
    0.0100    0.1060
    0.0200    0.2088
    0.0300    0.3850
    0.0400    0.3846
    0.0500    0.1664
    0.0600    0.1094
    0.0700    0.5260
    0.0800    0.2778
    0.0900    0.5432
    0.1000    0.5917
    0.1100    0.8849
    0.1200    0.6769
    0.1300    0.6726
    0.1400    0.7967
    0.1500    0.8363
    0.1600    0.8521
    0.1700    0.8087
    0.1800    0.7690
    0.1900    0.9649
    0.2000    0.8018
    0.2100    0.8539
    0.2200    1.1302
    0.2300    0.9456
    0.2400    0.9824
    0.2500    1.1000
    0.2600    0.9647
    0.2700    1.1065
    0.2800    0.9439
    0.2900    1.0811
    0.3000    1.0210
    0.3100    0.9061
    0.3200    0.8086
    0.3300    0.7604
    0.3400    0.8143
    0.3500    0.7603
    0.3600    0.7251
    0.3700    0.8383
    0.3800    0.6515
    0.3900    0.7645
    0.4000    0.5287
    0.4100    0.6439
    0.4200    0.4237
    0.4300    0.4454
    0.4400    0.4760
    0.4500    0.2630
    0.4600    0.2000
    0.4700    0.4100
    0.4800    0.2310
    0.4900    0.0148
    0.5000    0.0721
    0.5100   -0.1028
    0.5200   -0.0469
    0.5300   -0.0301
    0.5400   -0.4270
    0.5500   -0.1947
    0.5600   -0.2061
    0.5700   -0.4205
    0.5800   -0.2877
    0.5900   -0.5186
    0.6000   -0.7252
    0.6100   -0.8811
    0.6200   -0.7216
    0.6300   -0.6497
    0.6400   -0.7352
    0.6500   -0.7631
    0.6600   -0.9084
    0.6700   -0.8603
    0.6800   -1.0869
    0.6900   -1.0142
    0.7000   -1.0420
    0.7100   -0.9108
    0.7200   -0.9839
    0.7300   -1.1205
    0.7400   -0.9991
    0.7500   -1.0766
    0.7600   -1.0721
    0.7700   -0.8961
    0.7800   -0.9697
    0.7900   -0.9243
    0.8000   -0.8528
    0.8100   -0.9097
    0.8200   -0.8436
    0.8300   -0.8004
    0.8400   -0.7143
    0.8500   -0.7561
    0.8600   -0.6136
    0.8700   -0.7265
    0.8800   -0.6899
    0.8900   -0.4484
    0.9000   -0.6444
    0.9100   -0.5361
    0.9200   -0.3795
    0.9300   -0.4091
    0.9400   -0.2120
    0.9500   -0.1941
    0.9600   -0.2163
    0.9700   -0.2738
    0.9800   -0.0624
    0.9900   -0.2164
    1.0000    0.0272
